prompt,completion
,"SynthDef(\woodBlock, {
    var snd;
    snd = SinOsc.ar([800, 850], 0, 0.2);
    snd = snd * Env.perc(0.01, 0.5).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\timbale, {
    var snd;
    snd = SinOsc.ar([500, 550], 0, 0.2);
    snd = snd * Env.perc(0.01, 0.5).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\tamboura, {
    var snd;
    snd = Mix.fill(7, { |i| SinOsc.ar((i + 1) * 100, 0, 0.1) });
    snd = DelayC.ar(snd, 0.5, { Rand(0.1, 0.5) });
    snd = snd * Env.perc(0.01, 1).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\guiro, {
    var snd;
    snd = WhiteNoise.ar(0.3);
    snd = HPF.ar(snd, 1000);
    snd = snd * Env.perc(0.01, 0.2).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\vibraslap, {
    var snd;
    snd = WhiteNoise.ar(0.3);
    snd = BPF.ar(snd, XLine.kr(1000, 100, 0.2));
    snd = snd * Env.perc(0.01, 0.3).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\hardKick, {
    var snd;
    snd = SinOsc.ar(50 * (1 + (5 * Env.perc(0, 0.1, curve: -8).ar)) * (1 + (0.4 * Env.perc(0, 0.5, curve: -2).ar)));
    snd = snd * Env.adsr(0.001, 0.5, 0, 0.01, curve: -7).ar(Done.freeSelf, \gate.kr(1));
    snd = snd * -4.dbamp;
    snd = snd ! 2;
    Out.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\softPluck, {
    var snd, shift;
    shift = 2;
    snd = Pulse.ar((\freq.kr(100) * XLine.ar(1.3, 1, 0.01)) + shift);
    snd = FreqShift.ar(snd, shift * -2);
    snd = snd * Env.adsr(0.001, 0.4, 0, 0.03, curve: -7).ar(Done.freeSelf, \gate.kr(1));
    snd = snd * -8.dbamp;
    snd = snd * \amp.kr(1);
    snd = snd ! 2;
    Out.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\sharpClap, {
    var snd;
    snd = Hasher.ar(Sweep.ar);
    snd = BPF.ar(snd, 1240, 0.3) * 12.dbamp;
    snd = snd * Env.perc(0.001, 0.2, curve: -4).ar(Done.freeSelf);
    snd = snd * -5.dbamp;
    snd = Pan2.ar(snd, \pan.kr(0));
    Out.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\looseKick, {
    var snd;
    snd = LFPulse.ar(30 * (1 + (8 * Env.perc(0.0, 0.1, curve: -3).ar))) - (1 / 2);
    snd = snd * Env.linen(0.0, \duration.kr(0.08), 0.0).ar(Done.freeSelf);
    snd = snd * \amp.kr(-10.dbamp);
    snd = Pan2.ar(snd, \pan.kr(0));
    OffsetOut.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\tightSnare, {
    var snd;
    snd = LFPulse.ar(210 * (1 + (3 * Env.perc(0.0, 0.08, curve: -2).ar))) - (1 / 2);
    snd = snd + (BPF.ar(Hasher.ar(Sweep.ar), 2210, 0.3) * Env.perc(0.001, 0.05).ar * 30.dbamp);
    snd = snd.sign;
    snd = snd * Env.linen(0.0, \duration.kr(0.07), 0.0).ar(Done.freeSelf);
    snd = snd * \amp.kr(-10.dbamp);
    snd = Pan2.ar(snd, \pan.kr(0));
    OffsetOut.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\hiHat, {
    var snd;
    snd = BPF.ar(Hasher.ar(Sweep.ar), 8210, 0.3);
    snd = snd.sign;
    snd = snd * Env.linen(0.0, 0.02, 0.0).ar(Done.freeSelf);
    snd = snd * \amp.kr(-10.dbamp);
    snd = Pan2.ar(snd, \pan.kr(0));
    OffsetOut.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\deepBass, {
    var snd;
    snd = Pulse.ar(\freq.kr(90) * XLine.ar(1.3, 1, 0.01));
    snd = MoogFF.ar(snd, XLine.kr([1000, 1200], [50, 8310], \duration.kr * 1.3) * \cutoff.kr.linexp(-1, 1, 0.5, 2), 0.1) * [0, -16].dbamp;
    snd = snd * Env.adsr(0.001, 0.4, 0, 0.03, curve: -7).ar(Done.freeSelf, \gate.kr(1));
    snd = snd * -8.dbamp;
    snd = snd * \amp.kr(1);
    snd = snd ! 2;
    Out.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\resonantKick, {
    var snd;
    snd = SinOsc.ar(60 * (1 + (5 * Env.perc(0, 0.1, curve: -8).ar)) * (1 + (0.4 * Env.perc(0, 0.5, curve: -2).ar)));
    snd = snd * Env.adsr(0.001, 0.5, 0, 0.01, curve: -7).ar(Done.freeSelf, \gate.kr(1));
    snd = snd * -4.dbamp;
    snd = snd ! 2;
    Out.ar(\out.kr(0), snd);
}).add;"
,"SynthDef(\woodBlock, {
    var snd;
    snd = SinOsc.ar(800, 0, 0.3);
    snd = snd * Env.perc(0.01, 0.2).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\tom, {
    var snd;
    snd = SinOsc.ar(200, 0, 0.3);
    snd = snd * Env.perc(0.01, 0.5).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\crashCymbal, {
    var snd;
    snd = WhiteNoise.ar(0.3);
    snd = HPF.ar(snd, 8000);
    snd = snd * Env.perc(0.01, 1.5).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\triangle, {
    var snd;
    snd = SinOsc.ar(6000, 0, 0.3);
    snd = snd * Env.perc(0.01, 1).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\shaker, {
    var snd;
    snd = WhiteNoise.ar(0.3);
    snd = LPF.ar(snd, 5000);
    snd = snd * Env.perc(0.01, 0.1).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\claves, {
    var snd;
    snd = SinOsc.ar(2000, 0, 0.3);
    snd = snd * Env.perc(0.01, 0.2).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\cabasa, {
    var snd;
    snd = WhiteNoise.ar(0.3);
    snd = LPF.ar(snd, 8000);
    snd = snd * Env.perc(0.01, 0.1).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\guiro, {
    var snd;
    snd = WhiteNoise.ar(0.3);
    snd = HPF.ar(snd, 3000);
    snd = snd * Env.perc(0.01, 0.5).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\vibraslap, {
    var snd;
    snd = WhiteNoise.ar(0.3);
    snd = HPF.ar(snd, 3000);
    snd = snd * Env.perc(0.01, 1).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
,"SynthDef(\congo1, {
    var snd;
    snd = SinOsc.ar(200, 0, 0.3);
    snd = snd * Env.perc(0.01, 0.5).ar(Done.freeSelf);
    Out.ar(\out.kr(0), snd ! 2);
}).add;"
